id,origin,type,category,tags,title_en,title_fr,keyword_en,keyword_fr,slug_en,path_en,slug_fr,path_fr,length,angle,notes,pair_of,status_en,status_fr,merged_into,cover
1,en,article,Learn,"beginners, how to read tarot, method",How to read tarot cards for beginners (without memorising 78 meanings),Comment débuter le tarot : la méthode qui évite d’apprendre 78 significations,how to read tarot for beginners,comment débuter le tarot,how-to-read-tarot-beginners,/blog/how-to-read-tarot-beginners/,comment-debuter-le-tarot,/fr/blog/comment-debuter-le-tarot/,900,the five lenses; say nonsense first; one card today,,F134,written,todo,,
2,en,article,Learn,"beginners, how to read tarot, method",How to do a tarot reading step by step: your first pull in 10 minutes,,how to do a tarot reading,,how-to-do-a-tarot-reading,/blog/how-to-do-a-tarot-reading/,,,900,"one card, colours, number, element, say it out loud",,,todo,todo,,
3,en,article,Learn,"beginners, how to read tarot, method",Best tarot deck for beginners: why it’s the Rider-Waite-Smith (and what comes after),"Quel jeu de tarot choisir pour commencer ? Rider-Waite-Smith, et pourquoi",best tarot deck for beginners,quel jeu de tarot choisir,best-tarot-deck-for-beginners,/blog/best-tarot-deck-for-beginners/,quel-jeu-de-tarot-choisir,/fr/blog/quel-jeu-de-tarot-choisir/,900,RWS 1909; Thoth and Marseille in two lines,,F135,todo,todo,,
4,en,article,Learn,"beginners, how to read tarot, method","Do you have to be gifted your first tarot deck? The myth, explained",Faut-il qu’on vous offre votre premier jeu ?,do you have to be gifted your first tarot deck,premier jeu de tarot offert,do-you-have-to-be-gifted-your-first-tarot-deck,/blog/do-you-have-to-be-gifted-your-first-tarot-deck/,premier-jeu-de-tarot-offert,/fr/blog/premier-jeu-de-tarot-offert/,900,yours was a gift; it changed nothing,,F146,todo,todo,,
5,en,article,Learn,"beginners, how to read tarot, method",How to learn tarot fast: the 5 lenses that replace card meanings,,learn tarot fast,,learn-tarot-fast,/blog/learn-tarot-fast/,,,900,"colours, elements, numbers, energies, modes",,,todo,todo,,
6,en,article,Learn,"beginners, how to read tarot, method",Tarot for beginners: 12 mistakes almost everyone makes in the first month,Les 12 erreurs de débutant que presque tout le monde fait,tarot beginner mistakes,erreurs débutant tarot,tarot-beginner-mistakes,/blog/tarot-beginner-mistakes/,erreurs-debutant-tarot,/fr/blog/erreurs-debutant-tarot/,900,"memorising, sage, reading for yourself 20x a day…",,F148,todo,todo,,
7,en,article,Learn,"beginners, how to read tarot, method","What do you need to read tarot? A deck, a lens, a notebook — and one sentence",,what do you need to read tarot,,what-do-you-need-to-read-tarot,/blog/what-do-you-need-to-read-tarot/,,,900,"the method, stripped",,,todo,todo,,
8,en,article,Learn,"beginners, how to read tarot, method",How long does it take to learn tarot? An honest timeline,Combien de temps pour apprendre le tarot ? Une réponse honnête,how long to learn tarot,combien de temps pour apprendre le tarot,how-long-to-learn-tarot,/blog/how-long-to-learn-tarot/,combien-de-temps-pour-apprendre-le-tarot,/fr/blog/combien-de-temps-pour-apprendre-le-tarot/,900,one hour to read a card; dozens of counted readings to read well,,F140,todo,todo,,
9,en,article,Learn,"beginners, how to read tarot, method",Tarot card meanings cheat sheet: read any card with 3 questions,,tarot cheat sheet,,tarot-cheat-sheet,/blog/tarot-cheat-sheet/,,,900,colour? number? element?,,,todo,todo,,
10,en,article,Learn,"beginners, how to read tarot, method","Major arcana vs minor arcana: the difference, and why it matters in a spread",,major arcana vs minor arcana,,major-arcana-vs-minor-arcana,/blog/major-arcana-vs-minor-arcana/,,,900,what happens to you vs what you do,,,todo,todo,,
11,en,article,Learn,"beginners, how to read tarot, method","Tarot suits explained: Wands, Cups, Swords, Pentacles in plain words",,tarot suits explained,,tarot-suits-explained,/blog/tarot-suits-explained/,,,900,four elements table,,,todo,todo,,
12,en,article,Learn,"beginners, how to read tarot, method","Court cards explained: Page, Knight, Queen, King without the confusion",,court cards meaning,,court-cards-meaning,/blog/court-cards-meaning/,,,900,"learn, act, hold, decide; Queen and King equal",,,todo,todo,,
